助记符,操作码,操作码（HEX）,指令长度,操作数 i,操作数 j,操作数 k,作用,备注
NOT,105,0x69,2,reg,-,-,i=~i;,寄存器按位取反
XCH,106,0x6A,3,reg,reg,-,i<==>j;,ij交换
CMP,107,0x6B,3,reg,reg,-,CY=i<j;,比较两个寄存器并设置CY标识（目前本指令没有的必要）
PUSH,108,0x6C,2,reg,-,-,,压栈
POP,109,0x6D,2,reg,-,-,,出栈
MOV,110,0x6E,3,reg,reg,-,i=j;,
MOV8,111,0x6F,3,reg,u8,-,i=j;,
MOV16,112,0x70,4,reg,u16,-,i=j;,
MOV32,113,0x71,6,reg,u32,-,i=j;,
ADD,114,0x72,3,reg,reg,-,i=i+j;,
ADD8,115,0x73,3,reg,u8,-,i=i+j;,
ADD16,116,0x74,4,reg,u16,-,i=i+j;,
SUB,117,0x75,3,reg,reg,-,i=i-j;,
SUB8,118,0x76,3,reg,u8,-,i=i-j;,
SUB16,119,0x77,4,reg,u16,-,i=i-j;,
OR,120,0x78,3,reg,reg,-,i=i|j;,
OR8,121,0x79,3,reg,u8,-,i=i|j;,
AND16,122,0x7A,4,reg,u16,-,i=i&j;,
OR16,123,0x7B,4,reg,u16,-,i=i|j;,
XOR16,124,0x7C,4,reg,u16,-,i=i^j;,
ADD32,125,0x7D,6,reg,u32,-,i=i+j;,
SUB32,126,0x7E,6,reg,u32,-,i=i-j;,
AND32,127,0x7F,6,reg,u32,-,i=i&j;,
OR32,128,0x80,6,reg,u32,-,i=i|j;,
XOR32,129,0x81,6,reg,u32,-,i=i^j;,
ADD_R,130,0x82,4,reg,reg,reg,i=j+k;,
SUB_R,131,0x83,4,reg,reg,reg,i=j-k;,
AND_R,132,0x84,4,reg,reg,reg,i=j&k;,
OR_R,133,0x85,4,reg,reg,reg,i=j|k;,
XOR_R,134,0x86,4,reg,reg,reg,i=j^k;,
MUL_R,135,0x87,4,reg,reg,reg,i=j*k;,
DIV_R,136,0x88,4,reg,reg,reg,i=j/k;,
MOD_R,137,0x89,4,reg,reg,reg,i=j%k;,
MOVSX8b,138,0x8A,3,reg,reg,-,i=j;,
MOVSX16b,139,0x8B,3,reg,reg,-,i=j;,
MOV8SX,140,0x8C,3,reg,i8,-,i=j;,
MOV16SX,141,0x8D,4,reg,i16,-,i=j;,
IMUL_A,142,0x8E,1,-,-,-,A=A*B;,
IMUL_R,143,0x8F,4,reg,reg,reg,i=j*k;,
,144,0x90,1,-,-,-,,
,145,0x91,1,-,-,-,,
,146,0x92,1,-,-,-,,
,147,0x93,1,-,-,-,,
,148,0x94,1,-,-,-,,
,149,0x95,1,-,-,-,,
,150,0x96,1,-,-,-,,
,151,0x97,1,-,-,-,,
,152,0x98,1,-,-,-,,
,153,0x99,1,-,-,-,,
,154,0x9A,1,-,-,-,,
,155,0x9B,1,-,-,-,,
,156,0x9C,1,-,-,-,,
,157,0x9D,1,-,-,-,,
,158,0x9E,1,-,-,-,,
,159,0x9F,1,-,-,-,,
,160,,1,-,-,-,,
,161,,1,-,-,-,,
,162,,1,-,-,-,,
,163,,1,-,-,-,,
,164,,1,-,-,-,,
,165,,1,-,-,-,,
,166,,1,-,-,-,,
,167,,1,-,-,-,,
,168,,1,-,-,-,,
,169,,1,-,-,-,,
,170,,1,-,-,-,,
,171,,1,-,-,-,,
,172,,1,-,-,-,,
,173,,1,-,-,-,,
,174,,1,-,-,-,,
,175,,1,-,-,-,,
,176,,1,-,-,-,,
,177,,1,-,-,-,,
,178,,1,-,-,-,,
,179,,1,-,-,-,,
,180,,1,-,-,-,,
,181,,1,-,-,-,,
,182,,1,-,-,-,,
,183,,1,-,-,-,,
,184,,1,-,-,-,,
,185,,1,-,-,-,,
,186,,1,-,-,-,,
,187,,1,-,-,-,,
,188,,1,-,-,-,,
,189,,1,-,-,-,,
,190,,1,-,-,-,,
,191,,1,-,-,-,,
,192,,1,-,-,-,,
,193,,1,-,-,-,,
,194,,1,-,-,-,,
,195,,1,-,-,-,,
,196,,1,-,-,-,,
,197,,1,-,-,-,,
,198,,1,-,-,-,,
,199,,1,-,-,-,,
,200,,1,-,-,-,,
,201,,1,-,-,-,,
,202,,1,-,-,-,,
,203,,1,-,-,-,,
,204,,1,-,-,-,,
,205,,1,-,-,-,,
,206,,1,-,-,-,,
,207,,1,-,-,-,,
,208,,1,-,-,-,,
,209,,1,-,-,-,,
,210,,1,-,-,-,,
,211,,1,-,-,-,,
,212,,1,-,-,-,,
,213,,1,-,-,-,,
,214,,1,-,-,-,,
,215,,1,-,-,-,,
,216,,1,-,-,-,,
,217,,1,-,-,-,,
,218,,1,-,-,-,,
,219,,1,-,-,-,,
,220,,1,-,-,-,,
,221,,1,-,-,-,,
,222,,1,-,-,-,,
,223,,1,-,-,-,,
LED_CTRL,224,0xE0,2,u8,-,-,SELECTED_LED = i;,0xff = release
LED_COL,225,0xE1,4,RGB888,-,-,SELECTED_LED_COL = i;,
START,226,0xE2,2,u8,-,-,Start_key(i-1);,0=all
STOP,227,0xE3,2,u8,-,-,Stop_key(i-1);,0=all
,228,0xE4,1,-,-,-,,
,229,0xE5,1,-,-,-,,
,230,0xE6,1,-,-,-,,
,231,0xE7,1,-,-,-,,
SYCON,232,0xE8,2,u8,-,-,,系统控制
,233,0xE9,1,-,-,-,,
,234,,1,-,-,-,,
,235,,1,-,-,-,,
,236,,1,-,-,-,,
,237,,1,-,-,-,,
,238,,1,-,-,-,,
,239,,1,-,-,-,,
MALLOC,240,0xF0,2,reg,-,-,i=malloc(i);,
FREE,241,0xF1,2,reg,-,-,i=free(i);,
NEW_THREAD,242,0xF2,4,u8,reg,reg,i=TH ID;j=addr or keymode;k=V[4],i的取值范围0~3，实际占用寄存器R12-R15暂存线程地址；主线程退出子线程也会被强制退出；子线程退出不会自动释放malloc内存，除非主线程退出；子线程里可以继续开子线程，但是不建议套太多层
,243,0xF3,1,-,-,-,,
WHILE_UPDATE,244,0xF4,1,-,-,-,while (update_flag)Sleep(1);,等待HID上传数据完成
JMP_TO_SCRIPT,245,0xF5,2,u8,-,-,,跳转到其他脚本号（寄存器数据保留，但PC会重置）
MOV_PC2REG,246,0xF6,2,reg,-,-,i=PC;,把下一条指令的地址保存到寄存器
VALUE_RELOAD,247,0xF7,2,reg,-,-,i=Reload(reg);,重新加载脚本参数
MODE_JOG,248,0xF8,1,-,-,-,,进入点动模式（再次按下按键不会被强制打断）
WAIT_IF_RELEASE,249,0xF9,1,-,-,-,while (IO) Sleep(1);,如果物理按键是释放状态，等待按下后才会继续执行
WAIT_IF_PRESS,250,0xFA,1,-,-,-,while (!IO) Sleep(1);,如果物理按键是按下状态，等待释放后才会继续执行
EXIT_IF_RELEAS,251,0xFB,1,-,-,-,if (IO) exit();,如果物理按键是释放的，退出脚本
EXIT_IF_PRESS,252,0xFC,1,-,-,-,if (!IO) exit();,如果物理按键是按下的，退出脚本
EXIT_IF_ANYKEY,253,0xFD,1,-,-,-,if (SYS_KEY_COUNT != n) exit();,n=脚本开始执行时保存的按键计数器。脚本执行后，可以用此指令实现按任意键退出
RES,254,0xFE,1,-,-,-,PC = 0;,跳转到程序开头，等同于JMP 0
EXIT,255,0xFF,1,-,-,-,exit();,退出脚本
